,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,dunkwa,5.97,-1.78,70.29,88,11,3.27,GH,1597097417
128,castro,-24.79,-50.01,59.85,65,0,4.65,BR,1597097417
129,grand gaube,-20.01,57.66,64.0,71,12,5.01,MU,1597097417
130,carutapera,-1.2,-46.02,77.94,83,61,6.58,BR,1597097418
131,ajdabiya,30.76,20.23,76.82,75,0,9.71,LY,1597097418
132,ndele,8.41,20.65,70.5,96,100,3.18,CF,1597097418
133,brokopondo,4.75,-55.17,82.17,75,75,7.99,SR,1597097419
134,mayor pablo lagerenza,-19.93,-60.77,88.21,25,0,8.79,PY,1597097419
135,malakal,9.53,31.66,73.4,92,100,2.19,SS,1597097419
136,ketchikan,55.34,-131.65,55.4,87,90,17.22,US,1597097420
137,peniche,39.36,-9.38,68.0,89,99,4.0,PT,1597097420
138,terrace,54.52,-128.6,60.8,63,75,10.29,CA,1597097181
139,pervomayskoye,43.92,46.71,68.29,60,80,6.78,RU,1597097421
140,rafai,4.95,23.92,69.85,93,100,1.63,CF,1597097421
141,urumqi,43.8,87.6,75.2,41,75,8.95,CN,1597097187
142,lloydminster,53.28,-110.0,69.8,40,40,26.4,CA,1597097421
143,amli,20.28,73.02,77.41,91,99,7.47,IN,1597097422
144,tres arroyos,-38.37,-60.28,42.76,58,1,14.54,AR,1597097422
145,cabo san lucas,22.89,-109.91,88.0,66,75,18.34,MX,1597097408
146,santa maria,-29.68,-53.81,80.6,44,62,10.29,BR,1597097423
147,nantucket,41.28,-70.1,77.0,83,1,12.75,US,1597097355
148,port elizabeth,-33.92,25.57,50.0,87,0,2.24,ZA,1597097423
149,muroran,42.32,140.99,75.2,94,75,4.7,JP,1597097424
150,constitucion,-35.33,-72.42,49.87,58,8,13.87,CL,1597097391
151,pathein,16.78,94.73,78.42,91,100,5.28,MM,1597097424
152,nome,64.5,-165.41,55.99,71,1,10.29,US,1597097424
153,anloga,5.79,0.9,75.2,88,40,9.17,GH,1597097424
154,salinas,36.68,-121.66,75.99,60,1,17.22,US,1597097425
155,west bay,19.37,-81.42,89.6,75,20,11.41,KY,1597097422
156,mopti,14.67,-4.0,77.0,88,20,6.93,ML,1597097425
157,quilali,13.57,-86.03,71.6,83,75,9.17,NI,1597097425
158,udachnyy,66.42,112.4,50.0,100,90,4.47,RU,1597097389
159,mareeba,-17.0,145.43,66.2,72,90,4.7,AU,1597097426
160,bredy,52.42,60.34,59.67,90,27,16.78,RU,1597097228
161,tukrah,32.53,20.58,77.85,67,0,8.34,LY,1597097426
162,deputatskiy,69.3,139.9,37.51,79,42,4.14,RU,1597097427
163,paamiut,61.99,-49.67,40.66,82,57,10.98,GL,1597097427
164,manggar,-2.88,108.27,81.03,85,98,7.76,ID,1597097427
165,becerril,9.7,-73.28,86.09,75,100,2.86,CO,1597097427
166,lugovoy,42.95,72.76,74.52,27,41,7.29,KZ,1597097428
167,uberaba,-19.75,-47.93,68.86,49,3,10.11,BR,1597097284
168,ziarat,30.38,67.73,64.42,86,5,2.82,PK,1597097428
169,tiksi,71.69,128.87,40.46,78,72,10.4,RU,1597097194
170,kasangulu,-4.59,15.17,75.2,69,20,6.93,CD,1597097429
171,wanning,18.8,110.4,81.7,83,98,8.63,CN,1597097429
172,samarai,-10.62,150.67,78.57,88,64,11.65,PG,1597097430
173,elbeuf,49.29,1.0,78.8,50,100,5.82,FR,1597097430
174,bulawayo,-20.15,28.58,56.75,36,0,5.93,ZW,1597097430
175,boa vista,2.82,-60.67,87.8,58,75,6.93,BR,1597097430
176,baruun-urt,46.68,113.28,54.91,86,0,4.38,MN,1597097431
177,colchester,51.89,0.9,72.0,83,18,5.99,GB,1597097431
178,tasiilaq,65.61,-37.64,41.0,86,100,13.87,GL,1597097431
179,maneadero,31.72,-116.57,86.0,27,8,5.01,MX,1597097431
180,college,64.86,-147.8,59.0,58,75,9.17,US,1597097431
181,aurora,39.73,-104.83,89.01,23,40,11.41,US,1597096981
182,evensk,61.95,159.23,56.07,75,17,7.81,RU,1597097221
183,ilulissat,69.22,-51.1,44.6,65,40,8.05,GL,1597097432
184,chokurdakh,70.63,147.92,42.67,65,100,8.5,RU,1597097382
185,tautira,-17.73,-149.15,82.4,61,75,13.87,PF,1597097433
186,provideniya,64.38,-173.3,51.8,81,90,11.18,RU,1597097433
187,darab,28.75,54.54,82.71,44,18,1.83,IR,1597097433
188,batemans bay,-35.72,150.18,41.0,89,9,1.99,AU,1597097434
189,dillon,34.42,-79.37,87.8,70,1,3.36,US,1597097434
190,ulladulla,-35.35,150.47,48.2,100,75,10.29,AU,1597097435
191,vila franca do campo,37.72,-25.43,71.6,78,20,11.41,PT,1597097168
192,aranos,-24.13,19.12,52.0,37,0,8.41,NA,1597097435
193,straubing,48.88,12.57,73.0,71,7,4.27,DE,1597097435
194,avarua,-21.21,-159.78,73.4,69,6,9.17,CK,1597097159
195,baracoa,20.35,-74.5,83.59,70,93,8.93,CU,1597097436
196,kaniama,-7.57,24.18,68.85,34,0,1.88,CD,1597097436
197,port hawkesbury,45.62,-61.35,82.4,58,1,5.82,CA,1597097436
198,chisinau,47.01,28.86,75.2,53,22,5.82,MD,1597097159
199,petropavlovsk-kamchatskiy,53.05,158.65,59.0,87,12,4.47,RU,1597097437
200,lerwick,60.15,-1.15,57.2,93,100,8.05,GB,1597097152
201,la ronge,55.1,-105.28,71.6,46,75,17.22,CA,1597097437
202,katangli,51.71,143.23,62.46,86,94,4.99,RU,1597097438
203,ranong,9.97,98.63,79.47,86,83,7.63,TH,1597097438
204,mirnyy,62.54,113.96,55.4,76,40,13.42,RU,1597097438
205,hithadhoo,-0.6,73.08,81.95,80,100,11.63,MV,1597097439
206,kropotkin,45.44,40.58,72.36,37,86,13.67,RU,1597097235
207,mogadishu,2.04,45.34,75.52,79,66,17.78,SO,1597097439
208,hilo,19.73,-155.09,82.4,69,90,9.17,US,1597097347
209,mar del plata,-38.0,-57.56,53.6,37,23,12.75,AR,1597097328
210,flin flon,54.77,-101.86,66.2,63,75,19.46,CA,1597097223
211,abomsa,9.98,39.98,69.4,75,39,6.55,ET,1597097440
212,smirnykh,49.75,142.83,60.91,94,100,4.63,RU,1597097440
213,denpasar,-8.65,115.22,78.8,100,20,6.93,ID,1597097359
214,quatre cocos,-20.21,57.76,64.4,77,40,8.68,MU,1597097387
215,det udom,14.91,105.08,75.4,95,85,4.16,TH,1597097441
216,bethel,41.37,-73.41,90.0,48,20,6.93,US,1597097441
217,sonoita,31.85,-112.83,107.01,14,0,1.99,MX,1597097442
